gene_id,sigGene,sigSplicing,sigPromoter,sigCDS
0610007C21Rik,1,0,0,0
0610007P08Rik,1,0,0,0
0610007P14Rik,1,0,0,0
0610009O20Rik,1,0,0,0
0610010O12Rik,1,0,0,0
0610011F06Rik,1,0,0,0
0610012G03Rik,1,0,0,0
0610030E20Rik,1,0,0,0
0610040J01Rik,1,0,0,0
0910001L09Rik,1,0,0,0
1110001J03Rik,1,0,0,0
1110002B05Rik,1,0,0,0
1110003E01Rik,1,0,0,0
1110004F10Rik,1,0,0,0
1110007C09Rik,1,0,0,0
1110008P14Rik,1,0,0,0
1110012J17Rik,1,0,0,0
1110020G09Rik,1,0,0,0
1110028C15Rik,1,1,0,0
1110032F04Rik,1,0,0,0
1110037F02Rik,1,0,0,0
1110054O05Rik,1,0,0,0
1110058L19Rik,1,0,0,0
1110067D22Rik,1,0,0,0
1190002H23Rik,1,0,0,0
1190002N15Rik,1,0,0,0
1190005F20Rik,1,0,0,0
1190005I06Rik,1,0,0,0
1200016B10Rik,1,0,0,0
1300002K09Rik,1,0,0,0
1300010F03Rik,1,0,0,0
1500002O20Rik,1,0,0,0
1500009L16Rik,1,0,0,0
1500011K16Rik,1,0,0,0
1500012F01Rik,1,0,0,0
1500031L02Rik,1,0,0,0
1500032L24Rik,1,0,0,0
1520402A15Rik,1,0,0,0
1600014C10Rik,1,0,0,0
1600021P15Rik,1,0,0,0
1700001L19Rik,1,0,0,0
1700001O22Rik,1,0,0,0
1700003E16Rik,1,1,0,1
1700003M02Rik,1,0,0,0
1700007K13Rik,1,0,0,0
1700012A16Rik,1,0,0,0
1700016K19Rik,1,0,0,0
1700019D03Rik,1,0,0,0
1700019E19Rik,1,0,0,0
1700019G17Rik,1,0,0,0
1700025G04Rik,1,0,0,0
1700029F09Rik,1,1,0,0
1700029I01Rik,1,0,0,0
1700029J07Rik,1,0,0,0
1700030J22Rik,1,1,0,0
1700034H14Rik,1,0,0,0
1700037H04Rik,1,0,0,0
1700040L02Rik,1,0,0,0
1700045I19Rik,1,0,0,0
1700048O20Rik,1,0,0,0
1700049G17Rik,1,0,0,1
1700057K13Rik,1,0,0,0
1700066M21Rik,1,0,0,0
1700081L11Rik,1,0,0,0
1700086L19Rik,1,0,0,0
1700094D03Rik,1,0,0,0
1700102P08Rik,1,0,0,0
1810011O10Rik,1,0,0,0
1810012P15Rik,1,0,0,0
1810013D10Rik,1,0,0,0
1810013L24Rik,1,0,0,0
1810027O10Rik,1,0,0,0
1810041L15Rik,1,0,0,0
1810043G02Rik,1,0,0,0
1810046J19Rik,1,0,0,0
1810058I24Rik,1,0,0,0
2010002N04Rik,1,0,0,0
2010011I20Rik,1,0,0,0
2010012O05Rik,1,0,0,0
2010015L04Rik,1,1,0,1
2010106G01Rik,1,0,0,0
2010107E04Rik,1,0,0,0
2010107G23Rik,1,0,0,0
2010109K11Rik,1,0,0,0
2010300C02Rik,1,0,0,0
2010315B03Rik,1,0,0,0
2200002K05Rik,1,0,0,0
2210012G02Rik,1,0,0,0
2210013O21Rik,1,0,0,0
2210016F16Rik,1,0,0,0
2210016L21Rik,1,0,0,0
2210018M11Rik,1,0,0,0
2210411K11Rik,1,0,0,0
2310001A20Rik,1,0,0,0
2310003F16Rik,1,0,0,0
2310003H01Rik,1,0,0,0
2310003L22Rik,1,0,0,0
2310004I24Rik,1,0,0,0
2310005E10Rik,1,0,0,0
2310008H09Rik,1,0,0,0
2310014H01Rik,1,1,1,0
2310021P13Rik,1,0,0,0
2310022B05Rik,1,0,0,0
2310028H24Rik,1,0,0,0
2310028O11Rik,1,0,0,0
2310033P09Rik,1,0,0,0
2310037I24Rik,1,1,0,1
2310039H08Rik,1,0,0,0
2310042D19Rik,1,0,0,0
2310044G17Rik,1,0,1,0
2310044H10Rik,1,1,0,1
2310046A06Rik,1,1,0,1
2400001E08Rik,1,0,0,0
2410002O22Rik,1,0,0,0
2410003K15Rik,1,0,0,0
2410015M20Rik,1,0,0,0
2410016O06Rik,1,0,0,0
2410022L05Rik,1,0,0,0
2410066E13Rik,1,0,0,0
2410089E03Rik,1,0,0,0
2410091C18Rik,1,0,0,0
2410127L17Rik,1,0,0,0
2410131K14Rik,1,0,0,0
2510006D16Rik,1,0,0,0
2510009E07Rik,1,0,0,0
2510039O18Rik,1,0,0,0
2510049J12Rik,1,0,0,0
2610001J05Rik,1,1,0,0
2610002J02Rik,1,1,0,1
2610002M06Rik,1,0,0,0
2610008E11Rik,1,0,0,0
2610019F03Rik,1,1,0,1
2610020H08Rik,1,0,0,0
2610029I01Rik,1,0,0,0
2610042L04Rik,1,0,0,0
2610109H07Rik,1,0,0,0
2610203C20Rik,1,0,0,0
2610301B20Rik,1,0,0,0
2610305D13Rik,1,0,0,0
2610318N02Rik,1,0,0,0
2610507B11Rik,1,0,0,0
2610524H06Rik,1,0,0,0
2610528E23Rik,1,0,0,0
2700049A03Rik,1,0,0,0
2700050L05Rik,1,0,0,0
2700078E11Rik,1,1,0,1
2700089E24Rik,1,0,0,0
2810002D19Rik,1,0,0,0
2810002N01Rik,1,0,0,0
2810008M24Rik,1,0,0,0
2810021B07Rik,1,0,0,0
2810030E01Rik,1,0,0,0
2810046L04Rik,1,0,0,0
2810055F11Rik,1,0,0,0
2810055G20Rik,1,0,0,0
2810405K02Rik,1,0,0,0
2810407C02Rik,1,0,0,0
2810408A11Rik,1,0,0,0
2810422O20Rik,1,1,0,0
2810428I15Rik,1,0,0,0
2810432D09Rik,1,0,0,0
2810432L12Rik,1,0,0,0
2810474O19Rik,1,1,0,0
2900010J23Rik,1,0,0,0
2900010M23Rik,1,0,0,0
2900011O08Rik,1,0,0,0
2900024O10Rik,1,0,0,0
2900026A02Rik,1,0,0,0
2900062L11Rik,1,0,0,0
2900064A13Rik,1,0,0,0
2900073G15Rik,1,0,0,0
2900083I11Rik,1,0,0,0
2900092D14Rik,1,0,0,0
3110003A17Rik,1,0,0,0
3110035E14Rik,1,0,0,0
3110047P20Rik,1,0,0,0
3110052M02Rik,1,0,0,0
3110056O03Rik,1,0,0,0
3110079O15Rik,1,0,0,0
3110082I17Rik,1,0,0,0
3230401D17Rik,1,0,0,0
3632451O06Rik,1,0,0,0
3830406C13Rik,1,0,0,0
3830431G21Rik,1,0,0,0
4632415K11Rik,1,0,0,0
4632415L05Rik,1,0,0,0
4732471D19Rik,1,0,1,1
4833420G17Rik,1,1,0,0
4833424O15Rik,1,1,0,1
4921507P07Rik,1,0,0,0
4921513D23Rik,1,0,0,0
4921524J17Rik,1,0,0,0
4922501C03Rik,1,0,0,0
4922501L14Rik,1,0,0,0
4930402H24Rik,1,0,0,0
4930422G04Rik,1,0,0,0
4930427A07Rik,1,1,0,1
4930447C04Rik,1,0,0,1
4930452B06Rik,1,0,0,0
4930455F23Rik,1,0,0,0
4930473A06Rik,1,0,0,0
4930506M07Rik,1,1,0,1
4930539E08Rik,1,0,0,0
4930572J05Rik,1,0,0,0
4930578N16Rik,1,0,0,0
4931406P16Rik,1,0,0,0
4931414P19Rik,1,0,0,0
4931428F04Rik,1,0,0,0
4933407C03Rik,1,0,0,0
4933407H18Rik,1,1,0,0
4933408B17Rik,1,0,0,0
4933411K20Rik,1,0,1,0
4933424B01Rik,1,0,0,0
4933426I21Rik,1,0,0,0
4933426M11Rik,1,0,0,0
4933432B09Rik,1,0,0,0
4933437F05Rik,1,0,0,0
4933439F18Rik,1,0,0,0
5133401N09Rik,1,0,0,0
5330417C22Rik,1,0,0,0
5330426P16Rik,1,0,0,0
